| OpenMP mode | # teams | # threads | # threads per team | # particles | # calculations | average calculation time (s) | average total time (s) |
| gpu         | 89      | 712       | 8                  | 1000000     | 100            | 1.577338e-03                 | 2.887497e-02           |
| gpu         | 90      | 720       | 8                  | 1000000     | 100            | 1.569960e-03                 | 2.888559e-02           |
| gpu         | 91      | 728       | 8                  | 1000000     | 100            | 1.562734e-03                 | 2.887994e-02           |
| gpu         | 92      | 736       | 8                  | 1000000     | 100            | 1.553985e-03                 | 2.884052e-02           |
| gpu         | 93      | 744       | 8                  | 1000000     | 100            | 1.548217e-03                 | 2.881575e-02           |
| gpu         | 94      | 752       | 8                  | 1000000     | 100            | 1.540317e-03                 | 2.881497e-02           |
| gpu         | 95      | 760       | 8                  | 1000000     | 100            | 1.532167e-03                 | 2.880876e-02           |
| gpu         | 96      | 768       | 8                  | 1000000     | 100            | 1.527784e-03                 | 2.881255e-02           |
| gpu         | 97      | 776       | 8                  | 1000000     | 100            | 1.521716e-03                 | 2.880633e-02           |
| gpu         | 98      | 784       | 8                  | 1000000     | 100            | 1.515031e-03                 | 2.879835e-02           |
| gpu         | 99      | 792       | 8                  | 1000000     | 100            | 1.503632e-03                 | 2.879511e-02           |
| gpu         | 100     | 800       | 8                  | 1000000     | 100            | 1.496679e-03                 | 2.877883e-02           |
| gpu         | 101     | 808       | 8                  | 1000000     | 100            | 1.491224e-03                 | 2.878907e-02           |
| gpu         | 102     | 816       | 8                  | 1000000     | 100            | 1.486368e-03                 | 2.877610e-02           |
| gpu         | 103     | 824       | 8                  | 1000000     | 100            | 1.480986e-03                 | 2.886046e-02           |
| gpu         | 104     | 832       | 8                  | 1000000     | 100            | 1.478326e-03                 | 2.894359e-02           |
| gpu         | 105     | 840       | 8                  | 1000000     | 100            | 1.472606e-03                 | 2.876650e-02           |
| gpu         | 106     | 848       | 8                  | 1000000     | 100            | 1.469875e-03                 | 2.875861e-02           |
| gpu         | 107     | 856       | 8                  | 1000000     | 100            | 1.465486e-03                 | 2.880037e-02           |
| gpu         | 108     | 864       | 8                  | 1000000     | 100            | 1.462422e-03                 | 2.879614e-02           |
| gpu         | 109     | 872       | 8                  | 1000000     | 100            | 1.459823e-03                 | 2.879540e-02           |
